"id","username","discriminator","nickname","avatar","bot"
"141412127092113409","jcho","3643",NA,"b3f8ef0c4f362e07dfe1c501be7c6065",NA
"142008004085153792","Trann","3071",NA,"633724eaeb4ba675813431e6b32f12ff",NA
"142016083916750848","Rice","1509","Slipski in the Dipsy","b6061cebc201601cd85b8d759174ada1",NA
"142119165329801216","Costnerity","7778",NA,"1caaaa640044b8b05b4b0994bd3fa994",NA
"142172712326922240","Nohai","6938",NA,"d679b67c605bb8acf29e56a1c825eddd",NA
"142361239081713665","Chu","9783",NA,"03849e701d44b71d8beab1f92d134639",NA
"142421349191647233","Apex Asian","1708",NA,"dea272f53c31f7df66f3f6742036c1b5",NA
"143382226078400512","anshnagda","5519",NA,NA,NA
"143529621906784256","Corvam","5559",NA,NA,NA
"144630506892296192","FarlandBot","9745",NA,"7097e4c7792e3321b765677707cd299f",NA
"144990326262726656","venu","5345",NA,NA,NA
"145380729759596544","Navinate","2404",NA,"f12836c4f343f3fb45debfd27ef82ae1",NA
"145590833247158272","than.k","1321",NA,"0967bb3c5268240c162b7974ca7ac3a4",NA
"145630862669643776","lbrtle","3873",NA,"eecd4cf88512fc79f519fbcabfe0245a",NA
"146099423141691392","Jack Of BLades","5643",NA,"5dd4090e106bd46bd3141ea9de79deaf",NA
"147207974790627329","Mamba","3336",NA,"727bf15f4de9d76d512029915c46d48e",NA
"148241931988762625","Ian_Dukeman","0087",NA,"fe6ec3067bd1e1aaee28b852673e104d",NA
"148347533087735809","sekambu","5027",NA,"621da8fbd2be60a7be43e32c09ea1296",NA
"148652114195906561","yling","5053",NA,"ed124171d9f2ebfc98b7421b14ec3de1",NA
"148996346106347520","Y.ack","1724",NA,"7675ef1b19191db59901560fe45e5a14",NA
"149795144135081984","jwhitney96","6270",NA,"66944dc5ca08d16a123542e0cb413f81",NA
"150049432728109056","def not katsa","8848",NA,"aa0b678347ab832f355f2271af38d76f",NA
"150061853001777154","abalabahaha","9421",NA,"ad258d7137464ec63e32fedd003dac3a",NA
"150456890537672705","ScruffyMagic","7966",NA,NA,NA
"150483276463734784","snabbsnigel","4258",NA,"f94e8f326cd220f09a3726ec0ace7350",NA
"150713541236621312","ozan","8896",NA,NA,NA
"150714663045300224","SimplEagle","5610",NA,"e359ba7e50078244151aeed24def5b32",NA
"150881380971184128","Mazetuk","1266",NA,"88be7a5900db4bc8e2c4f645558734f3",NA
"151046385880268800","Hello","9092",NA,"61bda4f1eb5e75dc06fd0784c46c33be",NA
"151049496669716480","Glory to Arstotzka","3748",NA,"ed9f340c1d00291bd97192da7e9f7293",NA
"152254101814640640","candyissweet","7064",NA,NA,NA
"153029807490203648","justinkb","5981",NA,NA,NA
"153160387825500161","BWumbo","3041",NA,"b18830546d491bb2147cc9684ef11f6e",NA
"155064981027684352","AoiAhoy","3108",NA,"8f5f20f73701e700a4bcb5619970babe",NA
"155149108183695360","Dyno","3861",NA,"5aeb68c29b56b3d92eddb6f46df5051c",TRUE
"155481431944986624","Harrison","5352",NA,"48ee55e3abe9935edb0fcdcb8608539b",NA
"155527344436674560","Yawnitis","8755",NA,"e559dddf0db03327e18e8c4023f20506",NA
